CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
29091,Missouri,Howell County,40139,19656,20483,2.1,94.5,0.3,0.3,0.5,0.0,30071,34984,1567,20274,1001,22.9,32.0,29.5,20.4,21.7,13.7,14.7,83.3,10.5,0.3,1.2,0.7,4.0,19.3,16463,75.8,13.7,10.2,0.3,5.0
29093,Missouri,Iron County,10286,5114,5172,1.7,94.5,1.5,0.6,0.0,0.0,8132,36457,1532,19414,1182,21.2,32.0,18.9,26.1,21.8,13.2,20.2,82.3,10.4,0.2,2.4,1.5,3.0,28.2,3829,73.1,19.0,7.8,0.1,8.6
29095,Missouri,Jackson County,688554,332936,355618,8.8,62.5,23.4,0.4,1.8,0.3,502554,50652,526,28965,354,15.9,23.8,36.5,17.6,25.6,7.6,12.7,82.7,7.6,2.2,1.7,1.3,4.5,23.4,338110,83.7,11.3,4.9,0.1,5.7
29097,Missouri,Jasper County,118522,57694,60828,7.7,84.7,2.1,1.4,1.1,0.1,85474,45328,1810,23390,757,17.3,24.0,30.3,17.7,24.3,9.8,17.9,84.0,9.2,0.4,1.5,1.2,3.8,17.7,56319,83.3,10.5,5.9,0.3,5.5
29099,Missouri,Jefferson County,222639,110772,111867,1.8,94.7,1.0,0.2,0.8,0.0,168091,60765,969,27443,496,10.9,14.7,31.3,17.9,25.1,12.4,13.3,87.0,8.0,0.2,0.6,0.5,3.7,30.9,109196,85.6,9.6,4.6,0.2,6.5
29101,Missouri,Johnson County,53941,27891,26050,4.1,86.2,4.5,0.6,1.4,0.3,41432,50689,2574,23304,739,16.2,13.5,32.3,20.4,23.3,9.5,14.5,79.4,9.1,0.1,4.9,1.3,5.3,21.5,24278,71.5,21.9,6.3,0.3,6.9
29103,Missouri,Knox County,3976,2010,1966,1.0,96.5,0.4,0.0,0.1,0.4,3010,39674,3273,22171,2989,20.2,28.1,33.3,12.9,21.3,16.0,16.6,77.7,7.2,0.0,4.4,0.6,10.0,22.8,1642,73.4,10.5,15.5,0.5,5.8
29105,Missouri,Laclede County,35488,17562,17926,2.3,93.8,0.5,0.4,0.4,0.0,26693,42646,2489,20534,867,17.7,24.1,26.6,16.4,20.4,8.5,28.0,80.6,12.6,0.1,1.7,1.3,3.7,21.3,14894,80.8,11.1,8.1,0.1,7.7
29107,Missouri,Lafayette County,32655,16121,16534,2.7,92.2,2.0,0.2,0.5,0.1,24800,52557,2378,27260,1342,12.8,20.6,27.4,18.2,22.5,14.0,18.0,81.2,10.1,0.3,2.3,1.4,4.7,25.5,15277,78.3,12.4,8.9,0.4,5.5
29109,Missouri,Lawrence County,38131,19072,19059,7.2,89.7,0.6,0.5,0.5,0.0,27636,41673,1134,21022,766,17.1,27.4,27.7,21.2,19.6,10.2,21.2,78.1,12.2,0.1,1.8,2.7,5.1,22.2,16701,79.6,11.4,8.6,0.4,6.2
29111,Missouri,Lewis County,10078,5081,4997,1.7,92.8,2.9,0.6,0.2,0.1,7702,47148,3577,22083,1467,15.2,20.0,23.6,20.0,19.8,13.0,23.5,74.8,10.7,0.5,4.1,1.2,8.7,25.3,4814,81.2,10.7,8.0,0.1,2.9
29113,Missouri,Lincoln County,54800,27365,27435,2.3,93.4,1.9,0.2,0.4,0.1,40200,58603,3325,24023,660,13.2,18.1,25.6,16.0,23.3,14.7,20.4,86.7,8.5,0.2,0.3,1.3,3.0,33.1,25119,84.6,10.0,5.2,0.2,6.3
29115,Missouri,Linn County,12248,5907,6341,2.1,95.1,0.4,0.2,0.3,0.1,9309,41652,2416,22361,996,16.5,26.5,26.3,18.4,23.4,13.0,18.9,79.9,11.8,0.0,2.5,1.9,4.0,19.0,5516,77.0,14.3,8.2,0.5,3.2
29117,Missouri,Livingston County,15025,6805,8220,1.7,93.0,2.8,0.6,0.5,0.2,11722,45929,2964,22248,1002,17.9,26.1,29.5,22.3,23.9,9.7,14.7,81.5,9.6,0.4,2.7,1.2,4.6,18.7,6637,72.4,19.3,8.2,0.1,3.4
29119,Missouri,McDonald County,22753,11613,11140,11.6,78.4,1.8,2.3,1.4,1.6,15583,41207,2694,19577,980,19.0,27.7,20.0,16.1,22.8,14.5,26.6,79.3,14.0,0.1,0.8,2.0,3.7,25.9,9010,83.2,10.0,6.7,0.1,6.2
29121,Missouri,Macon County,15319,7601,7718,1.3,94.0,2.3,0.3,0.4,0.0,11604,38903,2263,20890,938,17.0,28.2,27.9,17.3,21.2,14.2,19.4,81.4,10.0,0.9,2.6,1.8,3.3,20.0,6388,76.1,15.3,8.3,0.3,7.4
29123,Missouri,Madison County,12226,6004,6222,2.3,94.9,0.9,0.3,0.4,0.0,9398,37484,6275,20081,1344,18.8,21.2,20.9,21.1,21.7,18.6,17.6,79.9,13.6,0.1,1.1,2.4,2.9,25.4,4976,78.6,17.0,4.4,0.0,5.8
29125,Missouri,Maries County,8959,4496,4463,2.5,95.8,0.4,0.9,0.2,0.0,7073,41715,3999,22087,1284,18.9,32.7,24.6,17.1,19.6,13.5,25.2,71.8,15.7,0.1,2.5,2.1,7.8,31.0,3705,74.0,18.0,8.0,0.0,7.7
29127,Missouri,Marion County,28703,13841,14862,1.6,90.2,4.9,0.2,0.7,0.1,21827,44098,2536,22662,1039,18.4,24.8,30.3,18.6,20.6,12.3,18.2,83.8,7.3,0.4,3.1,1.3,4.2,18.6,13150,79.9,13.4,6.6,0.1,6.5
29129,Missouri,Mercer County,3669,1835,1834,1.7,95.8,0.4,0.0,0.6,0.1,2727,43314,3418,20374,1755,17.7,20.3,32.4,14.0,18.9,12.9,21.7,74.8,7.3,1.1,6.2,1.8,8.9,21.7,1594,67.7,17.4,14.2,0.8,3.5
29131,Missouri,Miller County,24947,12291,12656,1.8,95.0,0.4,1.2,0.5,0.0,18952,41461,1751,23346,1565,16.5,23.8,25.6,21.6,25.6,11.3,15.9,76.3,16.4,0.1,2.0,1.9,3.4,26.6,11068,74.3,17.1,8.3,0.2,7.1
29133,Missouri,Mississippi County,13916,7495,6421,2.0,71.8,23.9,0.8,0.1,0.0,10797,32212,2610,17918,1571,31.7,50.9,21.9,23.5,22.7,12.9,19.0,78.0,16.7,0.3,2.1,0.4,2.6,16.5,4796,75.4,16.0,8.3,0.3,10.0
29135,Missouri,Moniteau County,15904,8350,7554,4.6,89.7,3.4,0.7,0.0,0.0,11713,50897,2130,21305,1138,11.9,17.4,29.0,15.5,24.3,11.8,19.4,79.9,12.0,0.6,1.8,2.9,2.9,25.1,6715,69.6,23.8,6.4,0.2,5.7
29137,Missouri,Monroe County,8676,4390,4286,1.6,93.3,3.4,0.1,0.2,0.2,6716,42011,2100,22255,1033,13.0,22.0,24.6,18.2,24.0,10.5,22.7,80.5,11.5,0.0,1.4,1.5,5.1,25.3,3893,78.0,13.8,8.0,0.2,4.5
29139,Missouri,Montgomery County,11618,5798,5820,1.8,94.4,1.4,0.1,0.1,0.2,8907,43094,2442,21757,895,16.1,22.7,28.3,18.5,17.6,12.9,22.7,84.9,8.5,0.5,2.6,0.3,3.1,25.8,5012,76.0,14.8,9.0,0.2,5.8
29141,Missouri,Morgan County,20097,10028,10069,2.1,94.4,0.8,0.5,0.1,0.0,15634,34776,2773,20055,1522,25.5,36.8,23.8,17.5,28.3,11.2,19.2,71.7,13.5,0.0,4.2,4.8,5.8,23.6,7121,73.6,13.6,12.4,0.4,7.3
29143,Missouri,New Madrid County,18030,8681,9349,1.8,80.0,16.0,0.4,0.0,0.0,13698,33846,2434,20261,884,24.1,36.2,24.0,24.8,18.1,10.4,22.7,80.6,11.7,0.5,3.0,0.3,3.8,19.1,6939,77.6,16.1,6.3,0.0,9.4
29145,Missouri,Newton County,58237,28926,29311,5.1,86.5,0.9,2.3,1.3,0.9,42846,46723,1654,25837,1249,12.9,15.8,28.9,16.3,23.5,10.9,20.4,81.1,10.8,0.1,1.5,1.5,5.0,21.7,27120,83.5,9.5,6.6,0.4,5.4
29147,Missouri,Nodaway County,22744,11302,11442,1.6,92.8,2.6,0.3,1.7,0.3,18582,41370,1806,21056,962,22.6,24.1,29.9,25.1,21.0,8.4,15.6,79.0,10.1,0.1,6.2,1.3,3.3,16.1,11535,74.9,17.6,7.4,0.1,4.7
