CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
42045,Pennsylvania,Delaware County,563384,270775,292609,3.6,68.0,20.7,0.1,5.4,0.0,415663,69839,1025,36747,519,10.4,14.0,43.0,17.5,23.9,6.6,9.1,73.3,6.9,10.5,3.8,1.0,4.5,29.0,275010,85.7,9.6,4.6,0.1,6.8
42047,Pennsylvania,Elk County,30781,15435,15346,0.8,97.6,0.5,0.2,0.4,0.0,24631,49876,2142,27163,1011,9.4,14.9,26.3,14.0,18.6,8.4,32.8,84.9,7.9,0.7,2.4,0.4,3.7,18.8,15169,86.3,8.1,5.3,0.3,4.8
42049,Pennsylvania,Erie County,277794,137134,140660,4.0,84.8,6.8,0.2,1.6,0.0,211830,48192,1037,26361,443,16.8,25.0,33.7,20.6,23.2,7.2,15.3,78.8,10.9,1.7,3.9,1.0,3.6,19.3,126958,84.9,10.3,4.6,0.1,6.5
42051,Pennsylvania,Fayette County,133160,65640,67520,1.1,92.1,3.9,0.0,0.2,0.2,106492,41632,1212,24247,702,18.8,30.6,27.7,19.6,22.8,11.8,18.1,85.3,8.3,0.4,2.3,0.8,2.9,26.3,54222,85.1,10.4,4.3,0.1,7.5
42053,Pennsylvania,Forest County,7388,5972,1416,7.0,59.7,30.8,0.2,0.7,0.0,6643,37106,3313,14989,2689,14.1,38.3,24.5,22.6,24.8,11.1,17.0,80.2,5.2,0.1,9.6,1.5,3.3,26.9,751,66.4,22.4,10.7,0.5,5.4
42055,Pennsylvania,Franklin County,153003,75535,77468,5.3,88.6,3.8,0.2,1.0,0.0,115719,58267,1638,28985,715,10.4,15.6,30.8,17.1,23.1,10.4,18.5,83.8,9.1,0.2,2.3,0.8,3.7,24.4,72456,81.2,12.7,5.9,0.2,5.7
42057,Pennsylvania,Fulton County,14631,7376,7255,1.2,96.3,1.5,0.3,0.1,0.0,11525,50007,1925,25273,812,11.5,14.2,25.7,16.9,20.0,14.2,23.2,77.9,15.0,0.1,2.6,0.5,3.9,32.3,6609,79.6,13.4,6.6,0.4,6.5
42059,Pennsylvania,Greene County,37338,19397,17941,1.5,93.6,3.1,0.1,0.4,0.0,30045,50972,2967,25574,926,14.8,21.7,30.7,19.3,19.7,16.4,13.8,84.2,8.9,0.0,2.6,1.2,3.1,26.8,14775,81.2,15.5,3.2,0.1,5.7
42061,Pennsylvania,Huntingdon County,45686,24129,21557,1.9,90.9,5.0,0.1,0.5,0.0,36688,46765,1246,22908,971,13.6,20.1,28.4,20.8,20.7,13.8,16.3,77.0,11.3,0.2,6.3,1.3,3.9,29.5,18540,78.9,14.7,6.2,0.1,6.7
42063,Pennsylvania,Indiana County,86551,43449,43102,1.3,93.9,2.2,0.2,1.1,0.0,69989,46306,1207,25014,789,16.6,19.2,30.0,19.5,22.7,12.5,15.3,79.6,9.4,0.8,5.2,1.9,3.0,23.0,38523,78.8,14.4,6.7,0.2,7.8
