CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
17129,Illinois,Menard,12611,6158,6453,1.3,96.1,0.9,0.0,0.4,0.2,9715,60486.0,2754.0,30578,1622,11.3,18.9,35.4,18.3,24.2,12.0,10.0,79.4,14.8,0.0,1.7,0.5,3.6,27.1,6252,71.0,23.2,5.6,0.1,5.7
17131,Illinois,Mercer,16107,7994,8113,2.1,96.2,0.5,0.0,0.3,0.0,12510,54757.0,3176.0,26823,1018,9.4,13.1,29.6,13.4,23.9,13.1,20.1,86.0,7.6,0.0,1.1,1.1,4.2,27.7,7568,79.7,11.9,8.3,0.1,6.2
17133,Illinois,Monroe,33539,16452,17087,1.5,96.6,0.3,0.0,0.6,0.0,25689,70859.0,3407.0,32889,1288,5.0,8.5,37.2,15.1,27.2,9.7,10.8,85.1,8.0,0.8,0.7,0.3,5.1,29.7,17120,83.3,12.0,4.6,0.1,5.2
17135,Illinois,Montgomery,29348,15282,14066,1.6,88.1,8.8,0.2,0.5,0.0,23151,46966.0,1701.0,19866,2043,14.8,19.7,32.4,20.3,24.0,9.4,13.8,87.0,7.0,0.4,1.9,0.5,3.2,24.3,9604,74.9,17.1,7.9,0.1,5.4
17137,Illinois,Morgan,35129,17761,17368,2.3,89.2,5.9,0.1,0.6,0.0,27617,45978.0,1677.0,24586,712,14.3,18.5,32.0,19.0,23.0,8.9,17.2,81.3,9.4,0.3,4.1,1.1,3.8,19.2,16089,76.0,16.8,7.0,0.2,8.3
17139,Illinois,Moultrie,14927,7301,7626,1.2,97.2,0.3,0.1,0.2,0.0,11178,49681.0,4409.0,25053,1454,13.3,22.3,28.1,16.2,22.5,8.6,24.5,78.3,10.1,0.1,3.3,3.5,4.8,21.3,6963,81.7,10.1,8.0,0.1,4.9
17141,Illinois,Ogle,52397,26103,26294,9.4,88.0,1.0,0.0,0.3,0.0,38523,54849.0,1940.0,27451,835,10.6,13.7,31.3,16.3,20.7,9.8,21.8,83.2,9.7,0.4,1.7,0.9,4.2,24.7,24989,79.8,14.5,5.6,0.1,8.0
17143,Illinois,Peoria,187112,90646,96466,4.4,71.2,17.3,0.3,3.7,0.0,137369,51147.0,845.0,28610,539,17.2,25.3,38.1,18.5,24.7,7.1,11.6,82.9,8.5,2.5,2.3,1.3,2.5,19.3,85639,85.8,10.4,3.7,0.1,8.7
17145,Illinois,Perry,21810,11572,10238,2.3,86.3,8.7,0.3,0.4,0.0,17344,42478.0,3273.0,21720,1789,17.2,27.3,24.7,21.0,18.9,15.1,20.4,85.9,8.9,0.7,1.5,0.5,2.5,25.9,8312,75.7,18.2,5.7,0.4,8.0
17147,Illinois,Piatt,16495,8171,8324,1.1,96.8,0.4,0.0,0.1,0.0,12684,66261.0,4430.0,32724,1594,6.2,9.0,35.9,15.0,24.1,11.8,13.2,81.5,11.1,0.8,1.3,1.2,4.1,23.8,8451,71.2,20.6,8.0,0.1,6.3
17149,Illinois,Pike,16144,8053,8091,1.2,95.7,1.2,0.6,0.4,0.0,12474,40588.0,1689.0,21594,905,13.7,15.7,25.6,19.8,20.7,14.4,19.5,81.7,9.5,0.2,3.6,1.1,3.8,25.3,7197,74.2,17.0,8.3,0.6,5.6
17151,Illinois,Pope,4331,2242,2089,1.8,93.2,3.6,0.2,0.5,0.0,3616,39223.0,4776.0,21131,1929,15.0,23.1,21.7,23.6,20.1,13.5,21.1,78.0,9.2,0.8,3.9,1.6,6.5,30.2,1469,74.8,18.0,6.5,0.7,10.0
17153,Illinois,Pulaski,5871,2868,3003,1.8,63.5,32.0,0.2,0.2,0.0,4487,31980.0,1832.0,18923,1727,20.2,27.2,25.9,26.7,20.2,10.4,16.7,83.4,6.9,0.5,3.1,1.9,4.2,25.8,1935,71.4,22.5,6.0,0.1,16.2
17155,Illinois,Putnam,5822,2942,2880,4.8,93.1,0.2,0.0,0.3,0.0,4537,56358.0,5810.0,29918,1879,12.0,25.4,28.8,17.5,19.8,13.6,20.3,88.1,8.4,0.0,1.8,0.7,1.1,23.2,2827,79.2,13.5,7.1,0.1,9.9
17157,Illinois,Randolph,33069,17902,15167,2.8,85.6,10.3,0.1,0.3,0.0,26442,48158.0,2443.0,22895,850,12.9,16.5,24.6,20.4,19.3,12.1,23.6,84.0,9.3,0.1,3.5,0.4,2.7,23.7,13698,79.0,15.3,5.4,0.2,6.7
17159,Illinois,Richland,16127,8015,8112,1.5,96.0,0.4,0.2,0.4,0.0,12444,44127.0,1781.0,23498,1115,15.1,21.2,27.7,16.8,22.9,10.4,22.2,82.2,12.2,0.1,2.2,0.7,2.6,17.4,7317,79.6,14.2,6.1,0.1,5.4
17161,Illinois,Rock Island,147161,72422,74739,12.3,73.9,9.2,0.2,2.1,0.0,107939,48817.0,1292.0,26391,505,14.9,23.9,29.5,18.9,23.9,8.4,19.3,82.4,8.5,1.6,2.4,2.4,2.8,18.8,68438,82.8,12.9,4.1,0.2,7.9
17163,Illinois,St. Clair,267029,128729,138300,3.7,62.5,29.7,0.2,1.3,0.0,199137,49895.0,1296.0,26738,552,18.2,28.3,34.7,19.5,24.7,8.1,13.0,81.9,7.6,4.3,1.7,1.3,3.2,24.4,116537,79.8,16.1,4.0,0.1,8.9
17165,Illinois,Saline,24783,12036,12747,1.6,91.8,3.7,0.3,0.6,0.0,19220,38258.0,2003.0,21175,1013,23.0,35.4,23.1,24.1,23.4,15.2,14.1,84.6,9.6,0.8,1.7,0.7,2.6,22.6,9841,76.8,15.9,7.0,0.3,13.0
17167,Illinois,Sangamon,199016,95552,103464,2.1,81.3,12.2,0.1,1.8,0.0,150057,56167.0,1005.0,31024,560,15.6,24.2,41.2,18.1,25.1,7.0,8.6,82.3,8.8,1.6,2.3,1.4,3.6,18.8,96155,71.0,24.2,4.6,0.2,7.9
17169,Illinois,Schuyler,7311,3894,3417,0.4,94.0,4.5,0.2,0.0,0.0,5828,47723.0,3004.0,24077,2477,19.3,15.4,27.5,18.6,25.7,11.1,17.1,79.2,12.0,1.0,2.3,0.6,5.0,23.7,3062,68.8,21.0,10.0,0.2,5.3
17171,Illinois,Scott,5198,2530,2668,1.4,97.2,0.0,0.2,0.2,0.0,3987,47222.0,4237.0,24978,1644,14.2,21.2,27.9,15.3,23.1,11.9,21.8,81.5,11.4,0.4,2.4,0.2,4.1,25.1,2370,76.9,14.7,8.2,0.2,9.4
