CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
51650,Hampton city,137081,66111,70970,5.2,40.2,49.0,0.4,2.3,0.0,104621,49190.0,1493.0,15.3,24.3,32.5,19.1,26.1,10.1,12.3,82.5,8.1,2.8,2.5,1.4,2.8,22.2,60826,73.5,22.5,4.0,0.0,9.8
51660,Harrisonburg city,51388,24462,26926,17.7,69.0,6.5,0.1,4.1,0.1,37978,38750.0,2789.0,32.5,22.4,34.5,25.4,21.5,7.3,11.4,72.0,10.7,2.9,8.4,2.6,3.5,15.3,24011,76.9,18.8,4.1,0.1,6.5
51670,Hopewell city,22279,10546,11733,6.8,51.1,38.1,0.0,1.5,0.0,16085,39064.0,2675.0,19.0,29.0,23.0,18.5,25.9,14.6,18.0,82.8,11.5,0.9,1.0,2.4,1.5,22.1,9041,79.0,18.8,2.2,0.0,12.8
51678,Lexington city,7071,4372,2699,3.9,75.4,10.8,0.0,6.9,0.0,6261,34017.0,5075.0,20.2,17.0,46.6,27.5,21.4,1.7,2.8,49.2,7.9,0.0,31.7,2.6,8.5,19.9,2082,80.3,14.9,4.8,0.0,2.7
51680,Lynchburg city,78158,36717,41441,3.3,62.9,28.3,0.2,2.8,0.0,60214,39589.0,1379.0,24.8,32.2,38.9,22.1,23.1,5.8,10.2,76.3,10.4,3.7,5.2,1.4,3.1,17.5,34404,83.4,12.4,4.1,0.1,8.0
51683,Manassas city,40743,20314,20429,32.9,44.6,13.5,0.0,5.2,0.1,22986,72890.0,2825.0,9.7,14.0,31.5,20.7,25.2,13.4,9.2,77.5,11.9,4.3,1.5,1.3,3.5,34.2,21549,79.8,16.3,3.7,0.2,7.5
51685,Manassas Park city,15625,8219,7406,35.2,38.5,12.1,0.2,9.5,0.0,8394,73528.0,5329.0,7.9,10.1,33.6,14.7,26.0,13.7,11.9,71.2,15.8,6.3,0.9,2.6,3.3,39.9,7991,80.8,15.1,4.2,0.0,4.4
51690,Martinsville city,13624,6155,7469,4.5,47.4,45.9,0.1,0.1,0.0,10330,29587.0,3621.0,23.6,29.1,25.6,19.8,25.1,5.6,23.9,77.2,15.4,1.0,2.1,2.4,1.9,20.0,5156,79.3,15.2,5.1,0.3,11.5
51700,Newport News city,181323,87790,93533,8.2,45.2,39.4,0.2,3.0,0.2,132255,50077.0,1054.0,15.7,24.1,33.1,20.4,24.8,9.5,12.2,79.2,9.4,3.5,4.0,1.5,2.5,23.0,82572,74.8,21.6,3.5,0.0,9.1
51710,Norfolk city,245452,128079,117373,7.2,44.1,41.1,0.4,3.3,0.2,187995,44480.0,1077.0,21.0,30.3,32.4,21.4,23.4,11.6,11.1,74.1,8.7,4.0,5.2,1.9,6.1,22.1,101764,73.3,22.8,3.9,0.1,10.9
