CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
8107,Routt,23606,12328,11278,6.8,90.2,0.4,0.2,1.0,0.0,18037,64963.0,5211.0,10.2,9.0,33.0,23.1,24.2,12.1,7.6,69.9,10.2,2.5,4.9,4.3,8.2,17.3,14060,83.3,9.2,7.4,0.1,4.0
8109,Saguache,6238,3116,3122,38.9,56.9,0.4,0.6,1.1,0.0,4360,33393.0,3124.0,23.4,34.9,30.8,12.8,17.0,25.4,13.9,70.0,13.2,0.9,6.3,2.5,6.9,18.4,2452,62.8,25.0,11.0,1.2,9.7
8111,San Juan,606,327,279,19.3,76.7,0.0,1.5,0.0,0.0,532,36324.0,2185.0,16.5,16.9,28.8,18.1,27.9,18.7,6.5,31.2,13.1,1.8,29.4,19.9,4.7,11.8,337,80.1,11.3,8.0,0.6,13.8
8113,San Miguel,7676,4049,3627,9.5,87.4,0.2,0.2,1.2,0.0,5907,56047.0,6153.0,11.2,10.7,37.1,18.9,23.2,10.9,9.8,43.7,8.1,17.2,11.8,6.1,13.2,20.0,4482,75.5,12.0,12.0,0.5,5.8
8115,Sedgwick,2365,1139,1226,13.6,80.1,1.2,0.4,1.2,0.0,1831,44191.0,5886.0,14.4,19.7,34.4,19.9,19.3,13.6,12.7,70.6,15.8,1.4,4.8,1.6,5.8,19.4,1028,66.2,21.2,12.0,0.6,6.4
8117,Summit,28940,15912,13028,14.7,81.0,1.2,0.2,0.9,0.4,21832,67983.0,7621.0,13.7,19.6,32.0,23.3,23.1,14.5,7.1,66.6,9.2,5.5,7.7,2.9,8.0,16.9,18171,81.5,10.4,8.1,0.0,4.7
8119,Teller,23340,11826,11514,6.1,89.6,1.1,0.3,0.9,0.0,18674,62372.0,3543.0,7.5,9.5,38.6,21.5,21.3,11.3,7.3,75.2,12.3,0.4,2.7,1.6,7.8,31.6,11501,69.8,22.5,7.4,0.3,8.2
8121,Washington,4795,2482,2313,9.3,88.3,0.6,0.6,0.5,0.0,3666,45541.0,3034.0,10.4,11.3,35.5,14.5,18.7,15.8,15.6,73.7,9.3,0.7,5.2,1.3,9.9,21.9,2196,61.0,24.2,14.5,0.3,5.1
8123,Weld,270948,136230,134718,28.7,66.9,1.0,0.5,1.3,0.1,184712,60572.0,923.0,12.9,16.5,33.1,16.8,23.3,13.1,13.7,79.2,10.9,0.6,2.3,1.8,5.2,26.3,129395,80.3,13.1,6.4,0.2,6.6
8125,Yuma,10185,4825,5360,21.6,76.8,0.4,0.0,0.1,0.0,6768,43105.0,4306.0,14.5,22.4,28.2,14.7,22.4,25.0,9.6,67.8,12.8,0.2,10.6,0.9,7.7,15.7,4878,75.5,12.9,11.4,0.2,2.5
